host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
100%,f,2.0,-2.296.591.903.141.140,-4.317.896.230.586.560,t,Condominium,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",""Suitable for events"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",""Luggage dropoff allowed""}",,$306.00,,,$0.00,$310.00,2,$58.00,4,90,t,217,93.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,2.12
,f,1.0,-229.856.978.888.963,-4.320.193.477.968.930,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Beach essentials""}",,$232.00,,,$889.00,$220.00,2,$224.00,3,90,t,85,95.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.85
100%,f,3.0,-22.977.116.804.101.800,-4.319.045.414.722.080,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$159.00,,,"$1,000.00",$250.00,2,$45.00,4,30,t,219,94.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,3,2.11
100%,t,1.0,-2.298.302.369.705.460,-4.321.427.004.586.680,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$252.00,,,$0.00,$77.00,2,$39.00,2,1125,t,233,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,2.27
95%,f,8.0,-2.299.866.853.833.120,-43.271.371.708.825.000,f,House,Entire home/apt,15,4.0,5.0,5.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Breakfast,""Suitable for events"",Washer,Dryer}",,"$3,499.00","$15,000.00","$30,000.00","$5,000.00",$200.00,1,$0.00,1,365,t,0,,,,,,,,f,strict_14_with_grace_period,f,8,
100%,t,1.0,-22.988.164.695.838.600,-431.935.877.232.457,t,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout""}",,$348.00,,"$8,901.00",$968.00,$159.00,2,$58.00,2,89,t,135,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,1,2.15
100%,t,1.0,-22.981.268.983.403.900,-4.319.045.722.266.820,t,Loft,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Luggage dropoff allowed"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Bathtub with bath chair"",""Accessible-height toilet"",""Wide entryway"",""Host greets you"",Beachfront}",,$221.00,"$1,500.00",,$400.00,$140.00,2,$80.00,3,30,t,278,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,2.78
100%,f,1.0,-2.296.680.789.927.560,-4.318.657.351.368.080,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""24-hour check-in"",Iron}",,$151.00,$600.00,"$2,000.00",,$150.00,1,$150.00,4,60,t,1,,,,,,,,f,moderate,f,1,0.01
75%,f,3.0,-22.921.990.204.401.300,-4.318.383.627.708.070,f,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Laptop friendly workspace"",""Bed linens""}",,$174.00,"$2,167.00","$6,927.00","$2,322.00",$581.00,1,$0.00,2,730,t,1,80.0,6.0,4.0,8.0,6.0,6.0,4.0,f,strict_14_with_grace_period,f,3,0.03
100%,f,7.0,-229.863.327.988.552,-4.320.256.262.652.210,t,Serviced apartment,Entire home/apt,13,7.0,6.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",,"$3,386.00",,,"$3,079.00",$352.00,7,$88.00,2,89,t,38,89.0,9.0,9.0,9.0,9.0,10.0,8.0,f,strict_14_with_grace_period,f,6,0.4
