latitude,longitude
-2.296.592,-4.317.896
-2.297.712,-4.319.045
-2.298.302,-4.321.427
-2.298.816,-4.319.359
-2.298.127,-4.319.046
-2.296.681,-4.318.657
-2.298.633,-4.320.256
-2.298.359,-4.319.382
-2.296.467,-4.317.442
-2.297.934,-4.319.113
-2.298.551,-432.041
-2.300.307,-4.330.911
-2.298.108,-4.319.078
-2.293.046,-431.745
-2.298.522,-4.319.242
-2.298.623,-4.320.353
-2.292.873,-4.317.473
-2.298.282,-4.319.571
-2.298.498,-4.319.135
-229.863,-4.319.708
-2.298.449,-4.323.068
-2.298.467,-4.319.753
-2.298.509,-4.330.056
-2.298.027,-4.319.255
-2.298.152,-4.319.018
-2.298.238,-4.319.366
-2.298.119,-4.319.373
-2.292.875,-4.319.341
-2.297.678,-4.319.208
-2.291.431,-4.318.884
-2.297.629,-4.323.145
-2.292.519,-4.319.118
-2.296.925,-4.318.283
-2.298.549,-4.319.295
-229.827,-4.321.908
-2.297.352,-4.338.242
-2.288.756,-4.359.413
-2.298.386,-4.321.383
-2.294.103,-4.317.617
-22.977,-4.319.041
-229.755,-4.318.865
-2.298.668,-4.322.171
-2.297.566,-431.885
-2.294.286,-4.319.356
-229.827,-432.004
-2.297.839,-4.319.108
-2.295.723,-4.320.438
-2.297.049,-4.318.923
-2.301.159,-4.336.925
-2.294.505,-4.318.137
-2.294.245,-4.318.763
-2.291.526,-4.318.148
-2.298.857,-4.322.716
-2.295.012,-4.318.282
-2.290.487,-4.320.924
-2.296.695,-4.318.296
-230.089,-4.343.049
-2.291.831,-431.785
-2.298.322,-4.319.087
-2.292.002,-4.318.005
-2.298.645,-4.319.724
-2.299.866,-432.521
-2.300.848,-4.342.884
-2.298.789,-4.331.698
-2.290.284,-4.322.247
-22.97,-4.318.823
-2.296.637,-4.321.814
-2.289.228,-4.335.648
-2.297.541,-4.318.877
-2.296.995,-4.318.879
-2.293.693,-4.319.098
-2.291.549,-4.322.626
-2.291.916,-4.317.931
-2.291.949,-4.322.558
-2.298.345,-432.202
-2.298.002,-4.322.371
-2.297.193,-4.320.359
-2.298.606,-4.319.513
-2.295.394,-4.317.406
-229.822,-431.896
-2.290.345,-4.324.253
-2.292.591,-4.318.033
-2.292.904,-435.612
-2.296.099,-4.319.934
-228.094,-4.318.194
-2.281.166,-4.318.182
-2.301.769,-4.347.227
-2.296.403,-4.340.829
-2.291.977,-4.321.884
-2.297.937,-4.319.157
-2.298.249,-4.319.222
-2.296.656,-4.318.575
-2.298.646,-4.319.355
-2.292.481,-4.352.123
-2.297.702,-4.318.867
-2.297.165,-4.318.843
-2.299.442,-4.323.544
-2.298.019,-4.319.339
-229.626,-4.317.704
-2.297.964,-431.921
-2.292.168,-4.318.067
-2.298.395,-4.319.677
-2.298.499,-4.319.098
-2.297.985,-4.319.189
-2.297.816,-43.191
-2.296.725,-4.318.169
-2.290.739,-4.319.554
-2.298.399,-4.322.023
-2.292.062,-4.318.156
-2.294.879,-4.318.147
